fecha,horaPlanificada,codigo,ciudad,codigoAeropuerto,compañia,modeloAvion,idAvion,estado,horaEfectiva,direccion
05/02/2018,6:45,FR1204,Verona,VRN,Ryanair,B738,EI-EKK,Departed,6:49,out
05/02/2018,6:50,VY2223,Barcelona,BCN,Vueling,A320,EC-MDZ,Departed,8:36,out
05/02/2018,7:00,FR1188,Memmingen,FMM,Ryanair,B738,EI-FIS,Departed,7:10,out
05/02/2018,7:00,TP1103,Lisbon,LIS,TAP Express,AT76,CS-DJF,Departed,7:00,out
05/02/2018,7:10,FR3041,Santiago,SCQ,Ryanair,B738,EI-EVT,Departed,7:16,out
05/02/2018,7:45,VY2253,Barcelona,BCN,Vueling,A320,EC-MOG,Departed,7:49,out
05/02/2018,8:25,VY3943,Palma de Mallorca,PMI,Vueling,A320,EC-LLM,Departed,8:30,out
05/02/2018,8:35,IB8841,Valencia,VLC,Iberia Regional,CRJX,EC-LJX,Departed,8:43,out
05/02/2018,8:40,IB8931,Almeria,LEI,Iberia Regional,CRJ2,EC-HEK,Departed,9:45,out
05/02/2018,9:05,I23947,Madrid,MAD,Iberia Express,A320,EC-LYM,Departed,9:13,out
05/02/2018,9:05,VY2211,Barcelona,BCN,Vueling,A321,EC-MGY,Departed,9:23,out
05/02/2018,9:15,TO3101,Paris,ORY,Transavia,B738,F-HTVB,Departed,9:21,out
05/02/2018,11:00,FR6445,Brussels,CRL,Ryanair,B738,EI-EVT,Departed,11:17,out
05/02/2018,11:20,VY2509,Bilbao,BIO,Vueling,A320,EC-LRE,Departed,11:32,out
05/02/2018,12:20,VY3048,Las Palmas,LPA,Vueling,A320,EC-MOG,Departed,12:40,out
05/02/2018,13:00,VY3254,Tenerife,TFN,Vueling,A320,EC-LVO,Departed,13:02,out
05/02/2018,13:10,IB3949,Madrid,MAD,Iberia,32A,EC-MBK,Canceled,null,out
05/02/2018,13:25,U22010,London,LTN,easyJet,A320,G-EZOM,Departed,13:32,out
05/02/2018,13:40,FR5262,Paris,BVA,Ryanair,B738,EI-FOB,Departed,13:52,out
05/02/2018,13:45,VY1299,A Coruna,LCG,Vueling,A320,EC-LOP,Departed,13:45,out
05/02/2018,13:55,U28176,London,LGW,easyJet,A319,G-EZDM,Departed,14:12,out
05/02/2018,15:05,TP1105,Lisbon,LIS,TAP Express,AT76,CS-DJE,Departed,14:54,out
05/02/2018,15:30,VY2221,Barcelona,BCN,Vueling,A320,EC-LRE,Departed,15:39,out
05/02/2018,16:05,FR2208,Valencia,VLC,Ryanair,B738,EI-FIV,Departed,16:14,out
05/02/2018,16:10,VY3964,Valencia,VLC,Vueling,A320,EC-MJC,Departed,16:16,out
05/02/2018,16:25,FR1650,Bari,BRI,Ryanair,B738,EI-FIS,Departed,16:29,out
05/02/2018,16:40,LH1823,Munich,MUC,Lufthansa,A319,D-AILB,Departed,16:36,out
05/02/2018,16:40,FR8364,London,STN,Ryanair,B738,EI-EVF,Departed,16:49,out
05/02/2018,17:00,V73269,Santander,SDR,Volotea,B712,EI-FCB,Departed,17:04,out
05/02/2018,17:00,WK221,Zurich,ZRH,Edelweiss Air,A320,HB-IJV,Departed,17:11,out
05/02/2018,17:20,IB8847,Valencia,VLC,Iberia,CRK,EC-JCV,Departed,17:25,out
05/02/2018,17:35,FR5268,Eindhoven,EIN,Ryanair,B738,EI-EVT,Departed,17:39,out
05/02/2018,17:40,I23951,Madrid,MAD,Iberia Express,A320,EC-ILQ,Canceled,null,out
05/02/2018,17:45,VY2257,Barcelona,BCN,Vueling,A320,EC-JYX,Departed,18:02,out
05/02/2018,17:50,FR5272,Palma de Mallorca,PMI,Ryanair,B738,EI-FZG,Departed,18:00,out
05/02/2018,18:20,VY8832,Paris,CDG,Vueling,A320,EC-MOG,Departed,18:28,out
05/02/2018,18:35,FR4371,Manchester,MAN,Ryanair,B738,EI-DLF,Departed,18:45,out
05/02/2018,19:40,FR6399,Barcelona,BCN,Ryanair,B738,EI-FOB,Departed,20:28,out
05/02/2018,19:50,FR6397,Barcelona,BCN,Ryanair,B738,EI-FRF,Departed,20:50,out
05/02/2018,20:05,VY2269,Barcelona,BCN,Vueling,A320,EC-LRE,Departed,21:00,out
05/02/2018,20:10,FR4636,Milan,BGY,Ryanair,B738,EI-FRT,Departed,20:15,out
05/02/2018,20:10,UX5106,Tenerife,TFN,Air Europa,B738,EC-LVR,Departed,20:34,out
